time,gFx,gFy,gFz,TgF
16:43:37:558,0.9868,0.0354,0.0692,0.990
16:43:37:564,0.9866,0.0381,0.0792,0.990
16:43:37:569,0.9861,0.0395,0.0885,0.991
16:43:37:574,0.9861,0.0390,0.0954,0.991
16:43:37:579,0.9856,0.0376,0.0988,0.991
16:43:37:586,0.9832,0.0381,0.0995,0.989
16:43:37:591,0.9785,0.0395,0.0980,0.984
16:43:37:593,0.9756,0.0398,0.0954,0.981
16:43:37:598,0.9739,0.0398,0.0934,0.979
16:43:37:603,0.9739,0.0398,0.0919,0.979
16:43:37:608,0.9739,0.0400,0.0929,0.979
16:43:37:614,0.9731,0.0405,0.0961,0.979
16:43:37:618,0.9726,0.0412,0.0990,0.979
16:43:37:623,0.9739,0.0427,0.1015,0.980
16:43:37:628,0.9761,0.0432,0.1024,0.982
16:43:37:633,0.9773,0.0437,0.1005,0.983
16:43:37:639,0.9773,0.0444,0.0954,0.983
16:43:37:643,0.9761,0.0447,0.0883,0.981
16:43:37:648,0.9770,0.0437,0.0844,0.982
16:43:37:653,0.9792,0.0415,0.0834,0.984
16:43:37:659,0.9814,0.0405,0.0841,0.986
16:43:37:672,0.9807,0.0405,0.0868,0.985
16:43:37:674,0.9792,0.0415,0.0905,0.984
16:43:37:675,0.9797,0.0417,0.0939,0.985
16:43:37:679,0.9812,0.0410,0.0961,0.987
16:43:37:691,0.9812,0.0398,0.0978,0.987
16:43:37:692,0.9807,0.0388,0.0980,0.986
16:43:37:698,0.9797,0.0383,0.0971,0.985
16:43:37:703,0.9797,0.0381,0.0949,0.985
16:43:37:704,0.9802,0.0378,0.0922,0.985
16:43:37:708,0.9783,0.0383,0.0892,0.983
16:43:37:715,0.9756,0.0383,0.0866,0.980
16:43:37:719,0.9748,0.0381,0.0853,0.979
16:43:37:724,0.9763,0.0381,0.0870,0.981
16:43:37:728,0.9770,0.0383,0.0888,0.982
16:43:37:734,0.9792,0.0386,0.0897,0.984
16:43:37:739,0.9832,0.0378,0.0875,0.988
16:43:37:743,0.9876,0.0364,0.0839,0.992
16:43:37:749,0.9890,0.0354,0.0795,0.993
16:43:37:754,0.9885,0.0354,0.0783,0.992
16:43:37:759,0.9888,0.0356,0.0800,0.993
16:43:37:773,0.9910,0.0361,0.0836,0.995
16:43:37:774,0.9924,0.0371,0.0885,0.997
16:43:37:775,0.9939,0.0378,0.0929,0.999
16:43:37:787,0.9949,0.0383,0.0963,1.000
16:43:37:788,0.9959,0.0398,0.0985,1.002
16:43:37:789,0.9951,0.0412,0.0990,1.001
16:43:37:793,0.9920,0.0427,0.0968,0.998
16:43:37:799,0.9898,0.0434,0.0939,0.995
16:43:37:804,0.9885,0.0430,0.0907,0.994
16:43:37:809,0.9873,0.0427,0.0888,0.992
16:43:37:815,0.9854,0.0434,0.0878,0.990
16:43:37:819,0.9834,0.0430,0.0888,0.988
16:43:37:824,0.9824,0.0420,0.0929,0.988
16:43:37:829,0.9810,0.0408,0.0978,0.987
16:43:37:834,0.9775,0.0410,0.1010,0.984
16:43:37:840,0.9756,0.0425,0.1024,0.982
16:43:37:844,0.9773,0.0442,0.1027,0.984
16:43:37:849,0.9800,0.0447,0.1044,0.987
16:43:37:854,0.9805,0.0444,0.1051,0.987
16:43:37:859,0.9795,0.0437,0.1051,0.986
16:43:37:875,0.9800,0.0425,0.1054,0.987
16:43:37:877,0.9827,0.0410,0.1039,0.989
16:43:37:880,0.9841,0.0390,0.1000,0.990
16:43:37:898,0.9844,0.0373,0.0963,0.990
16:43:37:899,0.9849,0.0364,0.0946,0.990
16:43:37:900,0.9846,0.0366,0.0934,0.990
16:43:37:901,0.9834,0.0373,0.0939,0.989
16:43:37:901,0.9836,0.0381,0.0951,0.989
16:43:37:904,0.9839,0.0381,0.0968,0.989
16:43:37:909,0.9844,0.0368,0.0971,0.990
16:43:37:916,0.9841,0.0361,0.0993,0.990
16:43:37:920,0.9844,0.0351,0.1012,0.990
16:43:37:924,0.9841,0.0344,0.1007,0.990
16:43:37:930,0.9829,0.0342,0.0978,0.988
16:43:37:935,0.9817,0.0351,0.0956,0.987
16:43:37:940,0.9800,0.0361,0.0963,0.985
16:43:37:944,0.9792,0.0368,0.0988,0.985
16:43:37:949,0.9800,0.0366,0.1010,0.986
16:43:37:954,0.9812,0.0361,0.1007,0.987
16:43:37:960,0.9819,0.0361,0.1007,0.988
16:43:37:969,0.9819,0.0361,0.1020,0.988
16:43:37:970,0.9819,0.0364,0.1037,0.988
16:43:37:974,0.9824,0.0349,0.1039,0.989
16:43:37:983,0.9836,0.0334,0.1017,0.989
16:43:37:985,0.9834,0.0317,0.0993,0.989
16:43:37:989,0.9827,0.0312,0.0998,0.988
16:43:37:994,0.9814,0.0315,0.1007,0.987
16:43:38:000,0.9800,0.0317,0.0993,0.986
16:43:38:005,0.9805,0.0310,0.0968,0.986
16:43:38:009,0.9817,0.0317,0.0946,0.987
16:43:38:015,0.9836,0.0320,0.0936,0.989
16:43:38:020,0.9873,0.0310,0.0929,0.992
16:43:38:025,0.9888,0.0302,0.0932,0.994
16:43:38:032,0.9873,0.0312,0.0976,0.993
16:43:38:035,0.9854,0.0332,0.1037,0.991
16:43:38:041,0.9851,0.0339,0.1059,0.991
16:43:38:044,0.9856,0.0332,0.1051,0.992
16:43:38:050,0.9839,0.0322,0.1037,0.990
16:43:38:054,0.9817,0.0317,0.1034,0.988
16:43:38:060,0.9792,0.0312,0.1039,0.985
