time,gFx,gFy,gFz,TgF
16:39:35:472,0.9646,-0.0137,0.2491,0.996
16:39:35:477,0.9619,-0.0135,0.2535,0.995
16:39:35:482,0.9580,-0.0133,0.2577,0.992
16:39:35:486,0.9555,-0.0137,0.2589,0.990
16:39:35:495,0.9546,-0.0155,0.2582,0.989
16:39:35:497,0.9536,-0.0162,0.2564,0.988
16:39:35:502,0.9533,-0.0159,0.2545,0.987
16:39:35:507,0.9531,-0.0147,0.2542,0.987
16:39:35:512,0.9531,-0.0133,0.2550,0.987
16:39:35:517,0.9519,-0.0118,0.2538,0.985
16:39:35:522,0.9504,-0.0091,0.2511,0.983
16:39:35:536,0.9497,-0.0069,0.2484,0.982
16:39:35:539,0.9509,-0.0064,0.2457,0.982
16:39:35:543,0.9533,-0.0074,0.2459,0.985
16:39:35:545,0.9568,-0.0093,0.2472,0.988
16:39:35:548,0.9604,-0.0098,0.2457,0.991
16:39:35:559,0.9624,-0.0101,0.2425,0.993
16:39:35:560,0.9638,-0.0096,0.2420,0.994
16:39:35:562,0.9638,-0.0091,0.2435,0.994
16:39:35:567,0.9634,-0.0079,0.2462,0.994
16:39:35:573,0.9636,-0.0086,0.2484,0.995
16:39:35:577,0.9638,-0.0098,0.2503,0.996
16:39:35:582,0.9643,-0.0118,0.2513,0.997
16:39:35:587,0.9653,-0.0125,0.2484,0.997
16:39:35:593,0.9675,-0.0118,0.2430,0.998
16:39:35:597,0.9670,-0.0125,0.2376,0.996
16:39:35:602,0.9646,-0.0118,0.2366,0.993
16:39:35:607,0.9609,-0.0108,0.2391,0.990
16:39:35:615,0.9599,-0.0111,0.2415,0.990
16:39:35:617,0.9612,-0.0123,0.2437,0.992
16:39:35:622,0.9602,-0.0133,0.2454,0.991
16:39:35:629,0.9604,-0.0137,0.2464,0.992
16:39:35:633,0.9621,-0.0147,0.2457,0.993
16:39:35:637,0.9634,-0.0159,0.2452,0.994
16:39:35:642,0.9629,-0.0159,0.2454,0.994
16:39:35:647,0.9612,-0.0159,0.2442,0.992
16:39:35:653,0.9587,-0.0159,0.2423,0.989
16:39:35:657,0.9570,-0.0135,0.2423,0.987
16:39:35:662,0.9558,-0.0118,0.2457,0.987
16:39:35:667,0.9550,-0.0106,0.2481,0.987
16:39:35:673,0.9550,-0.0089,0.2506,0.987
16:39:35:677,0.9550,-0.0057,0.2547,0.988
16:39:35:682,0.9560,-0.0027,0.2582,0.990
16:39:35:687,0.9575,-0.0023,0.2569,0.991
16:39:35:693,0.9594,-0.0030,0.2547,0.993
16:39:35:698,0.9604,-0.0042,0.2523,0.993
16:39:35:702,0.9612,-0.0049,0.2496,0.993
16:39:35:707,0.9602,-0.0071,0.2479,0.992
16:39:35:713,0.9594,-0.0091,0.2454,0.990
16:39:35:717,0.9590,-0.0120,0.2454,0.990
16:39:35:723,0.9575,-0.0142,0.2472,0.989
16:39:35:729,0.9546,-0.0147,0.2506,0.987
16:39:35:734,0.9519,-0.0137,0.2557,0.986
